Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Tandoori Food Works,Age Of Foodies (Suraj Karambe),"Tandoori Nights-
Ambiance -
Tandoori food works is located at food court available at SLN Terminus, Gachibowli. It is a small outlet having sitting area common for whole food court.
Food-
We placed an order for Stuffed Tangdi Kebabs having 2 fully stuffed Chicken leg pieces and topped with mayonnaise. Stuffed Tangdi Kebabs cost approximately INR 230. We also placed an order Half Tandoori Chicken which was served with green pudina chutney, which cost approximately INR 230. Both the Tandoori items were good in both quantity and taste. Tandoori Food Works offers 1+1 dish on Zomato Gold membership.
Service-
Service was good and the staff was very polite.",4,"104 Reviews , 334 Followers",1/14/2019 2:34,2,,"{'food': ['Stuffed Tangdi Kebabs', 'Half Tandoori Chicken'], 'drink': []}"
Tandoori Food Works,Foodies Hyderabad,I order for tandoori chicken and chicken biryani.....the food was good and the taste is mind blowing......the packing style is also good ...overall i loved the food.....,4,"31 Reviews , 9494 Followers",1/12/2019 15:49,0,,"{'food': ['tandoori chicken', 'chicken biryani'], 'drink': []}"
Tandoori Food Works,Marsha,Ordered chicken tikka kebab and chicken butter masala.Packaging was nice.But taste was not great.Okayish.Butter masala was more sweet than spicy.Pocket friendly but definitely can be better.,3,"85 Reviews , 668 Followers",1/10/2019 12:10,1,,"{'food': ['chicken tikka kebab', 'chicken butter masala'], 'drink': []}"
Tandoori Food Works,Mehak Surana,Very poor quality of serving dish. Bad taste. Please do not order from this place unless you want to get disappointed by their service and quality,1,"2 Reviews , 8 Followers",1/9/2019 22:34,0,,"{'food': ['dish'], 'drink': []}"
Tandoori Food Works,Balu Lovey,Earlier it was tasty but now it is stale i ordered biryani nd it is like just coloured rice it doesnt tasted like biryani dont waste ur money..restaurant persons will not respond,1,1 Review,1/7/2019 14:06,1,,"{'food': ['biryani'], 'drink': []}"
Tandoori Food Works,Ayush Singhal,Food is good in terms of taste and the quality. It can become better if little bit less oil is used. Rest everything is good. Quantity of food is good enough.,4,1 Review,1/6/2019 14:15,0,,"{'food': ['Food', 'quality'], 'drink': []}"
Tandoori Food Works,Dipanjan Maji,Nice place for a perfect dinner.i have tried chicken tikka biryani .and that was just super.i want to come with my family once more because of the food and prompt service.,4,"24 Reviews , 1843 Followers",1/3/2019 9:38,0,,"{'food': ['chicken tikka biryani'], 'drink': []}"
Tandoori Food Works,Nallani Harshitha,"The biryani was not good and when coming to flavors it doesnt taste nice
can improve by adding the biryani flavors more and spices
when coming to quantity it is too much less",1,"1 Review , 1 Follower",12/30/2018 21:59,0,,"{'food': ['biryani'], 'drink': []}"
Tandoori Food Works,Deepak Rajana,"Chiken is good but Biryani is too oily. More than actual customers there is huge crowd of delivery guys. Thali is not available. So, we must order kheer seperatly",2,"19 Reviews , 5 Followers",12/29/2018 22:17,0,,"{'food': ['Chiken', 'Biryani'], 'drink': ['kheer']}"
Tandoori Food Works,Jaw Creations,Ordered a chicken biriyani. Fast delivery and taste good. The price is not that high it's all within the range. The spices were just right on chicken piece but a little less in rice,4,1 Review,12/22/2018 19:23,0,,"{'food': ['chicken', 'rice'], 'drink': []}"
Tandoori Food Works,Foodie Chaudhary,"The first time I ordered their Chicken Tikka Biryani, I became fan of it. Loved it so much that I recommended it to my friends and colleagues as well. The second time I ordered it, the quantity was very less compared to the first time and tasted different as well. I've got the same sort of feedback from friends also, that their food is inconsistent in taste, quantity and its a hit or miss. I would sincerely suggest them to be consistent in quality and quantity both as they've got good potential.",3,"118 Reviews , 2042 Followers",12/14/2018 18:50,1,,"{'food': ['Chicken Tikka Biryani'], 'drink': []}"
Tandoori Food Works,Abhijit Benerjee,"The food here is just amazing !!! 5*
Hope to see more branches opening up!!
I’ve tried kebabs and curry and rotis it’s just toooo good!! I definitely recommend this place",5,"41 Reviews , 365 Followers",12/9/2018 23:24,0,,"{'food': ['kebabs', 'curry', 'rotis'], 'drink': []}"
Tandoori Food Works,Mohit Ajwani,Food is always great at Tandoori Food Works. This restaurant was recommended to me by a friend. I really love all the dishes they serve and I would recommend everyone to definitely try dining or ordering from here. Paneer Jahangiri was really great. Thanks team,5,"46 Reviews , 84 Followers",12/2/2018 17:51,0,,"{'food': ['Paneer Jahangiri'], 'drink': []}"
Tandoori Food Works,Donnie Reddy,Good food and excellent service.. the quality of the food was fantastic and they served it well for me I am happy with the way they have provide the delicious food,5,"2 Reviews , 3 Followers",12/1/2018 1:16,0,,"{'food': ['food', 'quality', 'delicious', 'food'], 'drink': []}"
Tandoori Food Works,Rishi Reddy R,The staff was very polite. Food was really extraordinary. With no hesitation I would love to visit this place n number of times. I would suggest everyone to have visit over there .,5,"19 Reviews , 32 Followers",11/21/2018 18:04,1,,"{'food': ['Food was really extraordinary'], 'drink': []}"
Tandoori Food Works,Prasanth Movva,"Food is Disaster
We ordered Tandoori Tofu and Paneer tikka Biryani. They said that they are their chef special dishes. But they are not so special. I felt that the tofu is not tandoori blended and the biryani it is over cooked and the onions were over burnt. Because of this my appetite is dead. Finally my experience at Tandoori Food Works didn’t go well and I don’t recommend this for anyone.",1,"5 Reviews , 3 Followers",11/15/2018 12:14,0,,"{'food': ['Tandoori Tofu', 'Paneer Tikka Biryani'], 'drink': []}"
Tandoori Food Works,Mohdsameer.sam76,Should improve the quantity,4,"2 Reviews , 2 Followers",11/8/2018 14:49,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Raja,Timely delivered,5,"1 Review , 1 Follower",11/6/2018 20:37,0,,"{'food': ['pizza', 'burger', 'pasta'], 'drink': ['coffee', 'tea', 'soda']}"
Tandoori Food Works,Recruiterravi99,I have ordered Chicken Tikka Biryani... Food was awesome but quantity is less and oily.  please try to work on it. delivery and packing also good,4,"2 Reviews , 1 Follower",11/6/2018 0:03,0,,"{'food': ['Chicken Tikka Biryani'], 'drink': []}"
Tandoori Food Works,Rajesh Goud,very Good,5,"2 Reviews , 2 Followers",11/4/2018 20:42,0,,"{'food': ['pizza'], 'drink': ['coke']}"
Tandoori Food Works,Kavish Jain,"Went here with friends to have dinner. it's a small food counter in SLN terminus at L3. They have limited food options in menu but for vegeterians what I tried was good. I tried Paneer Tikka which was very nice. They also have another food counter bankok169 found that food also bit okay kind. I was happy with Chilly garlic noodles but quite disappointed with Vietnamese rice not up to the mark and rice was also very dry.
Must try place if u r tandoori item lovers also got review from friends tangdi chicken was very good.
Zomato gold is add- on advantage 😀",4,"38 Reviews , 959 Followers",10/28/2018 23:44,0,,"{'food': ['Paneer Tikka', 'Chilly garlic noodles'], 'drink': []}"
Tandoori Food Works,RAMA KRISHNA,Ordered chicken tandoori biryani very bad in taste and smells like a hell. Need to improve a lot and check before sending any parcels to customers. Delivery was on time,1,"5 Reviews , 33 Followers",10/22/2018 11:41,0,,"{'food': ['chicken tandoori biryani'], 'drink': []}"
Tandoori Food Works,Prashant,"Awesome chicken curry dishes, tried all of them, do try chicken tangdi masala. Very good packaging and more than enough quantity for one person.",5,"1 Review , 1 Follower",10/9/2018 22:55,0,,"{'food': ['chicken curry dishes'], 'drink': []}"
Tandoori Food Works,G Sourabh,Received something's,1,"1 Review , 1 Follower",9/27/2018 0:59,0,,"{'food': ['something'], 'drink': []}"
Tandoori Food Works,Chaitanya,good,5,3 Reviews,9/20/2018 14:18,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Chaitanya,Good,5,3 Reviews,9/20/2018 13:12,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Aditya Barbarwar,"I have ordered paneer tikka biryani, and very much satisfied with it...",4,"2 Reviews , 10 Followers",9/18/2018 22:55,0,,"{'food': ['paneer tikka biryani'], 'drink': []}"
Tandoori Food Works,Rahularode,Food is tasty... Nice quantity for veg Biryani and PBM ... Just need to reduce the oil quantity... Rest all is cool.. Also they serve good Butter Tandori Roti...,4,"6 Reviews , 1 Follower",9/17/2018 22:29,0,,"{'food': ['Biryani', 'Roti'], 'drink': ['Butter Tandori']}"
Tandoori Food Works,Rahul Das,too oily,3,"4 Reviews , 2 Followers",9/16/2018 18:01,0,,"{'food': ['too oily'], 'drink': []}"
Tandoori Food Works,Naveen Reddy,nice good,5,1 Review,9/15/2018 14:39,0,,"{'food': ['nice', 'good'], 'drink': []}"
Tandoori Food Works,Deep Thakur,"Second time I oouder for tandoori food works
First time thay give me very oile food
Now I oouder tandoori chicken full
Tandoori chicken to much roasted
And green chutney spoiled price is very high and guality is very low you really desipointed me guys I never oouder there again",1,"17 Reviews , 789 Followers",9/14/2018 1:37,4,,"{'food': ['tandoori chicken', 'green chutney'], 'drink': []}"
Tandoori Food Works,Prem,Not at all worth for the money spent,1,"2 Reviews , 1 Follower",9/12/2018 0:17,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Pavan Raj,very nice,5,"2 Reviews , 1 Follower",9/10/2018 22:34,0,,"{'food': ['nice'], 'drink': []}"
Tandoori Food Works,Vaibhav Mehta,"Some great Indian food delivered at my doorstep.

The Paneer Jahangiri is an absolute favourite with me & my dad being Paneer enthusiasts. Soft and tenddr Paneer and the gravy tasted more of Spinach than colored cream.

Kulchas surprisingly were hot, with a good layering of Masala and were extremely filling. All in all a good little home delivery experience!",4,"36 Reviews , 76 Followers",9/10/2018 15:03,0,,"{'food': ['Paneer Jahangiri', 'Kulchas'], 'drink': []}"
Tandoori Food Works,Madhuri,Tandoori Chicken Tikka briyani.... Chicken Tikka is not a good taste and briyani with full of oil..... Overall taste is not satisfactory.... Restaurant guys please maintain food quality to be best,2,"82 Reviews , 93 Followers",9/9/2018 14:00,0,,"{'food': ['Tandoori Chicken Tikka', 'Chicken Tikka'], 'drink': []}"
Tandoori Food Works,Asif Nawaz KJ,Had ordered Chicken Tandoori and Fish Tikka.. Extremely disappointed with Fish Tikka.. Fish used was stale and tasted worse.. packaging was ridiculous (was charge 20 bucks for packaging though).. never ever would order again from this pathetic place..,1,1 Review,9/8/2018 15:32,0,,"{'food': ['Chicken Tandoori'], 'drink': []}"
Tandoori Food Works,Gnaneswar Seshu,I don't like spicy food but after eating biryani here I feel like it would be good if it is spicy,2,"2 Reviews , 1 Follower",9/6/2018 23:02,0,,"{'food': ['biryani'], 'drink': []}"
Tandoori Food Works,Umeshnayak1239,good,5,2 Reviews,8/29/2018 21:18,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Hari,Ordered Chicken tikha & chicken tandoori biryani  food very oily also requested for less masala still they did not take note I think restaurant guys are very interested in making money than quality. Delivery was quick and good 5* for zomato delivery.,1,1 Review,8/25/2018 11:45,0,,"{'food': ['chicken tikha', 'chicken tandoori biryani'], 'drink': []}"
Tandoori Food Works,Paneeth Kumar,Good,5,1 Review,8/21/2018 23:42,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Ambika,"The food was too awesome and quick. Chicken was finger licking good.... Served as hot and too quickly and still had the best taste.😋
Paneer tikka could improve.",4,"5 Reviews , 8 Followers",8/19/2018 18:54,0,,
Tandoori Food Works,Sharath,not bad,5,1 Review,8/18/2018 14:29,0,,"{'food': ['not bad'], 'drink': []}"
Tandoori Food Works,Moha N,"if u r to order anything from them, just add an extra quantity.....they even serve tandoori chicken which looks like a polio affected chicken has been prepared for the dish...",1,"3 Reviews , 1 Follower",8/16/2018 21:46,0,,"{'food': ['tandoori chicken'], 'drink': []}"
Tandoori Food Works,GANDHAM B K V GOPI KRISHNA GANDHAM B K V GOPI KRISHNA,can be better if provided fresh food,2,1 Review,8/16/2018 12:43,0,,"{'food': ['fresh food'], 'drink': []}"
Tandoori Food Works,Joy Prabhakar,good sarvece,5,"3 Reviews , 1 Follower",8/14/2018 23:03,0,,"{'food': ['sarvece'], 'drink': []}"
Tandoori Food Works,Chandu Naidu Sv,good,5,"1 Review , 3 Followers",8/12/2018 22:00,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Asif Nawaz,I had ordered Chicken Tikka Biryani and Tandoori chicken.. it was delivered before time(only good thing) .. Biryani was too cold.. looks like they serve chilled biryani.. and the lemon was rotten.. pathetic experience..,2,1 Review,8/12/2018 15:28,0,,"{'food': ['Chicken Tikka Biryani', 'Tandoori chicken'], 'drink': []}"
Tandoori Food Works,Sai Harika,"At first accepted the order, but after waiting for 45mins they have declined the order. Least bothered to respond to the calls. Switched off the mobile. I dont understand why do these restaurants provide their mobile number, if they dont have intention to respond to customers. In case of cancelling the order why should the restaurant accept the order first and y should they regret to decline the order that too after 45 mins.",1,"1 Review , 11 Followers",8/10/2018 23:23,0,,"{'food': ['order', 'cancelling the order'], 'drink': ['mobile number', 'respond to customers']}"
Tandoori Food Works,Soumya Svr,good,5,"3 Reviews , 1 Follower",8/8/2018 18:12,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Dharmesh Karampudi,A very good yummy kebabs,4,"2 Reviews , 31 Followers",8/7/2018 22:10,0,,"{'food': ['kebabs'], 'drink': []}"
Tandoori Food Works,Anis,very tasty but quantity is less as per price. Also they are charging 20 extra for packing.,4,1 Review,8/5/2018 1:06,0,,"{'food': ['very tasty'], 'drink': ['quantity is less as per price']}"
Tandoori Food Works,Srikanth Reddy,weast,1,"1 Review , 1 Follower",8/4/2018 14:21,0,,"{'food': ['weast'], 'drink': []}"
Tandoori Food Works,Harshitha Kumble,Awesome food. Ordered the tandoori chicken biriyani and stuffed chicken legs. Great packaging and taste was really good.,5,"31 Reviews , 138 Followers",8/3/2018 23:48,0,,"{'food': ['tandoori chicken biriyani', 'stuffed chicken legs'], 'drink': []}"
Tandoori Food Works,Anji,quantity is very less when compared to previous orders,3,1 Review,8/2/2018 22:44,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Aryan,dirty chicken tikka masala...u cooked sand along with chicken,1,"1 Review , 4 Followers",8/2/2018 0:06,0,,"{'food': ['chicken', 'tikka masala'], 'drink': []}"
Tandoori Food Works,Sai Charan,never eat,1,"7 Reviews , 1 Follower",8/1/2018 11:52,0,,"{'food': ['never eat'], 'drink': []}"
Tandoori Food Works,Ashok Kancherla,I ordered chiken Tikka masala they cheated us adding thanduri chiken with masala and they send to me,1,"5 Reviews , 3 Followers",7/30/2018 22:29,0,,"{'food': ['chiken Tikka masala'], 'drink': []}"
Tandoori Food Works,Hemant Singh,"Just one word. Awesome.
another word. Delicious",5,"8 Reviews , 5 Followers",7/30/2018 20:29,0,,"{'food': ['one word'], 'drink': []}"
Tandoori Food Works,Zaheerulla Chinna,average,3,"6 Reviews , 1 Follower",7/30/2018 17:28,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Naresh Shetty,food was terrible,1,"0 Reviews , 6 Followers",7/30/2018 12:14,0,,"{'food': ['was terrible'], 'drink': []}"
Tandoori Food Works,Sombabu P,Hi I'm Sombabu P nice food and plz increase the some qontiti.......................................................................pakeing was to good...tnq guys,4,"24 Reviews , 2120 Followers",7/30/2018 0:40,0,,"{'food': ['pakeing was to good'], 'drink': []}"
Tandoori Food Works,Vibhor Singh,"Biryani was bad, it was burned. Taste was bad.",3,0 Reviews,7/30/2018 0:40,0,,"{'food': ['Biryani'], 'drink': []}"
Tandoori Food Works,Cherry Bajaj,quantity should be more for starter,4,0 Reviews,7/29/2018 21:55,0,,"{'food': ['starters'], 'drink': []}"
Tandoori Food Works,Harsh Vardhan,"Great food. They listen to you as well, served with less oil last time :)",5,"4 Reviews , 187 Followers",7/29/2018 21:15,0,,"{'food': ['Great food'], 'drink': []}"
Tandoori Food Works,Pala Kamineni,good,4,0 Reviews,7/29/2018 20:40,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Nikhil Ashok,no quality,2,"3 Reviews , 9 Followers",7/28/2018 22:28,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Sagar Kar Choudhury,kashmiri naan and curry are awesome😍😍 thank you for d delicious food!!,4,0 Reviews,7/28/2018 21:57,0,,"{'food': ['kashmiri naan', 'curry'], 'drink': []}"
Tandoori Food Works,Yousuf,Delivery on time but food was not hot,5,"0 Reviews , 1 Follower",7/28/2018 19:29,0,,"{'food': ['not hot'], 'drink': []}"
Tandoori Food Works,RoHith PaTel,Stale food and less quantity,1,"0 Reviews , 27 Followers",7/28/2018 14:26,0,,"{'food': ['stale food'], 'drink': []}"
Tandoori Food Works,Mukul Ghosh,Tasty and delicious,5,"2 Reviews , 46 Followers",7/28/2018 13:39,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Harish,Taste is good(chicken tikka biryani). As per the quantity not value for money,3,0 Reviews,7/27/2018 13:36,0,,"{'food': ['chicken tikka biryani'], 'drink': []}"
Tandoori Food Works,Suresh,Good,5,0 Reviews,7/27/2018 12:22,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Tandoori Food Works,Kamalakar Andhavarapu,super,5,0 Reviews,7/27/2018 0:25,0,,"{'food': ['pizza'], 'drink': ['coke']}"
Tandoori Food Works,Apoorv Srivastava,Food was awesome,5,"12 Reviews , 12 Followers",7/26/2018 0:29,0,,"{'food': ['Food'], 'drink': []}"
Delhi-39,Raghu Nandan,"Went for lunch. Ordered Mix. Veg curry, Roti, Plain Naan & Biryani. Food taste was good but curries are more oily. Price is average. Service is good.",4,"1 Review , 1 Follower",3/26/2019 13:15,0,,"{'food': ['Veg curry', 'Roti', 'Plain Naan', 'Biryani'], 'drink': []}"
Delhi-39,Kanika Gautam,"The ambience is sort of ok.

The food is good. We ordered paneer tikka, mushroom masala, tandoori rotiya, veg raita, jeera rice, butter paneer masala. Food turned out to be good.
And if any issue with the order then the staff is courteous enough to address the issue and even if thw customer reaches the restaurant late, they do corporate.",4,"22 Reviews , 14 Followers",3/17/2019 2:50,0,,"{'food': ['paneer tikka', 'mushroom masala', 'tandoori rotiya', 'veg raita', 'jeera rice', 'butter paneer masala'], 'drink': []}"
Delhi-39,Phanisri Soumya,"Food has been consistently great. All their Paneer dishes are amazing. Though prices have increased, quality of food is same. Nevertheless great food.",5,6 Reviews,1/22/2019 1:52,0,,"{'food': ['Paneer dishes'], 'drink': []}"
Delhi-39,Bhavi Solanki,"Went today on a Relaxed Late Lunch! Decided to go to the nearest place for food! 
Easily locatable, decent place!

Ordered : Dal Makhani, Fulka Rotis. 
Liked the food, simple and good in taste! For the first time, loved the rotis here. Fulka rotis tasted yummy with Hot Dal Makhani! 

Had a Full Fledged Lunch paying reasonable prices!.",4,"85 Reviews , 301 Followers",11/18/2018 0:41,0,,"{'food': ['Dal Makhani', 'Fulka Rotis'], 'drink': []}"
Delhi-39,Priya Baskota,on time,5,"1 Review , 1 Follower",11/9/2018 21:47,0,,"{'food': ['pizza', 'pasta'], 'drink': ['coffee', 'tea']}"
Delhi-39,Akshar Kataria,"I ordered Amritsari Nan and chana masala. Nan was bit ok but Chana was worthless. It’s raw and cooked in shahi paneer gravy.
Will never order food from here",2,2 Reviews,10/19/2018 13:35,0,,"{'food': ['Amritsari Nan', 'chana masala'], 'drink': []}"
Delhi-39,Ashish Bihani,"Please never ever think of ordering noodles here. It was too oily and only noodles with paneer. Who puts paneer in Chinese hakka noodles !!! And then adding to the taste, the delivery was very delayed (this is zomato' fault, agreed). Indian food is good which they are good at.",1,"8 Reviews , 76 Followers",9/28/2018 22:28,0,,"{'food': ['noodles', 'paneer'], 'drink': []}"
